"gene_id"	"path_id"	"path_name"
"b0114"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b0115"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b0116"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b0356"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b0688"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b0755"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b0756"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1002"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1101"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1241"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1378"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1478"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1621"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1676"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1723"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1734"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1779"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1780"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b1854"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2097"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2388"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2417"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2453"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2715"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2716"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2779"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2901"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2925"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b2926"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b3403"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b3588"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b3589"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b3612"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b3721"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
"b3879"	"eco00010"	"Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655"
